使用者編號,學校代碼,年級,班級,國語成績,數學成績,英語成績,練習次數,練習平均正確率,練習總秒數,影片瀏覽次數,影片觀看總秒數,影片平均完成率,倒轉次數,快轉次數,筆記次數,暫停次數,單字遊戲次數,數學遊戲次數,測驗作答次數,測驗總秒數,綜合平臺活動數,總活動量,參與度分組
80905,1377,3,2,88.0,88.0,,14,78.6,681,17,3739,79.9,22,7,0,73,0,0,5,540,0,36,Q1 低
116516,1377,5,1,92.0,84.0,88.0,11,50.0,803,16,2461,63.1,4,0,0,75,0,0,30,335,0,57,Q1 低
124649,2284,6,1,88.0,52.0,,72,62.5,1283,2,431,54.0,0,0,0,2,60,0,225,6980,306,665,Q4 高
51872,1377,6,3,76.0,56.0,92.0,9,77.8,997,30,5360,70.1,25,2,0,147,0,0,391,7158,0,430,Q3 中高
229604,2284,3,3,,92.0,,0,,0,2,43,10.0,1,0,0,3,0,0,0,0,310,312,Q3 中高
228685,2284,3,1,,92.0,,22,86.4,841,1,390,100.0,0,0,0,1,0,0,0,0,155,178,Q2 中低
29165,1377,5,1,92.0,76.0,64.0,28,64.3,318,21,5590,84.3,17,0,0,950,0,0,25,835,0,74,Q1 低
76668,2284,6,2,,,36.0,0,,0,0,0,,0,0,0,0,0,0,185,5190,29,214,Q2 中低
70254,2284,5,1,64.0,32.0,44.0,0,,0,0,0,,0,0,0,0,0,0,0,0,116,116,Q1 低
73300,1377,6,1,84.0,52.0,96.0,16,68.8,130,12,3609,79.5,5,3,0,67,0,0,487,9521,400,915,Q4 高
24756,1377,5,1,88.0,72.0,84.0,11,86.4,1370,14,2384,50.2,8,0,0,138,0,0,25,3080,0,50,Q1 低
52740,1377,6,3,88.0,52.0,80.0,13,73.1,866,25,5531,71.5,22,9,0,175,0,0,418,7388,0,456,Q4 高
183701,2284,4,3,,,90.0,0,,0,0,0,,0,0,0,0,0,0,0,0,354,354,Q3 中高
72960,2284,4,3,,,58.0,0,,0,0,0,,0,0,0,0,0,0,0,0,146,146,Q2 中低
20357,1377,4,2,72.0,84.0,72.0,29,70.7,697,26,5855,78.2,0,0,0,46,0,0,220,5605,0,275,Q3 中高
87936,2284,5,1,72.0,68.0,64.0,0,,0,0,0,,0,0,0,0,0,0,0,0,231,231,Q2 中低
79490,1377,6,3,80.0,56.0,92.0,8,81.2,183,22,2938,43.5,24,0,0,201,0,0,125,4461,0,155,Q2 中低
73033,2284,4,3,48.0,76.0,82.0,0,,0,0,0,,0,0,0,0,0,0,0,0,71,71,Q1 低
80778,2284,5,3,64.0,36.0,52.0,104,50.6,3394,5,2381,58.4,2,0,0,8,0,0,0,0,144,253,Q2 中低
14106,1377,5,2,96.0,80.0,56.0,11,72.7,306,12,3132,93.5,2,2,0,559,0,0,716,18750,0,739,Q4 高
183581,2284,4,1,,,88.0,28,72.0,756,2,456,74.0,0,0,0,4,0,0,0,0,64,94,Q1 低
79645,2284,5,4,,88.0,,36,76.4,1702,22,5081,60.8,9,0,2,89,0,0,0,0,133,191,Q2 中低
169901,1377,6,1,88.0,72.0,80.0,21,73.8,1251,34,6319,66.7,26,4,0,345,0,0,523,7854,216,794,Q4 高
29204,1377,5,1,76.0,84.0,96.0,33,86.4,950,27,4155,59.7,65,0,0,115,0,0,12,108,0,72,Q1 低
79756,2284,5,4,,68.0,,6,58.3,5598,4,765,59.8,0,0,0,15,0,0,0,0,41,51,Q1 低
