類型,名稱,科目,嘗試次數,錯誤次數,正確率
能力指標,地點-Where is he/she?,英語108,4,1,75.0
能力指標,增刪投影片與版面配置,資訊教育,108,43,60.2
能力指標,大數的大小比較及八位數的加減直式運算。,數學108,27,6,77.8
能力指標,"天氣-Good Day -sunny, cloudy, rainy, windy, snowy",英語108,4,2,50.0
能力指標,"天氣-Good morning Taiwan (sunny, windy, cloudy, snowy, rainy",英語108,4,2,50.0
能力指標,天氣為短時間發生的大氣變化；氣候為長時間的天氣平均狀態。,國高中地球科學,8,3,62.5
能力指標,字形[一]/部首,國語文108,1,0,100.0
能力指標,字形[三]/同音字1,國語文108,3,2,33.3
能力指標,字形[三]/同音字2,國語文108,2,0,100.0
能力指標,字形[三]/同音字3,國語文108,3,0,100.0
能力指標,字形[三]/同音字4,國語文108,10,3,70.0
能力指標,字形[三]/同音字5,國語文108,40,18,55.0
能力指標,字形[三]/字體字形,國語文108,4,2,50.0
能力指標,字形[三]/形近字,國語文108,10,4,60.0
能力指標,字形[三]/查字典,國語文108,4,1,75.0
能力指標,字形[三]/部首,國語文108,14,3,78.6
能力指標,字形[二]/同音字1,國語文108,18,10,44.4
能力指標,字形[二]/同音字2,國語文108,18,8,55.6
能力指標,字形[二]/同音字3,國語文108,8,1,87.5
能力指標,字形[二]/同音字4,國語文108,4,1,75.0
能力指標,字形[二]/字體字形1,國語文108,8,0,100.0
能力指標,字形[二]/字體字形2,國語文108,6,1,83.3
能力指標,字形[二]/形近字1,國語文108,10,0,100.0
能力指標,字形[二]/形近字2,國語文108,10,1,90.0
能力指標,字形[二]/形近字3,國語文108,8,0,100.0
能力指標,字形[二]/形近字4,國語文108,8,1,87.5
能力指標,字形[二]/查字典,國語文108,16,6,62.5
能力指標,字形[二]/部首,國語文108,4,1,75.0
能力指標,字形筆畫名稱[一]/橫折,國語文108,6,2,66.7
能力指標,字形筆畫名稱[三]/豎曲鉤,國語文108,6,0,100.0
能力指標,字形筆畫名稱[三]/豎橫折,國語文108,7,4,42.9
能力指標,字形筆畫名稱[三]/長頓點,國語文108,2,0,100.0
能力指標,字形筆畫名稱[二]/橫鉤,國語文108,8,3,62.5
能力指標,字形筆順[一]/橫畫在中而突出最後寫,國語文108,6,2,66.7
能力指標,字形筆順[一]/橫豎組合字橫最後寫,國語文108,4,2,50.0
能力指標,字形筆順[一]/由橫而豎,國語文108,4,2,50.0
能力指標,字形結構[一]/左窄右寬結構,國語文108,8,3,62.5
能力指標,字形結構[三]/上長下短結構,國語文108,1,0,100.0
能力指標,字形結構[三]/左窄右寬結構,國語文108,26,13,50.0
能力指標,字形結構[二]/上短下長結構,國語文108,6,3,50.0
能力指標,字形結構[四]/左上包右下結構,國語文108,10,2,80.0
能力指標,字母-Alphabet A-Z,英語108,10,3,70.0
能力指標,字母-Alphabet Cc Dd,英語108,2,0,100.0
能力指標,字母-Alphabet Ee Ff,英語108,2,0,100.0
能力指標,字母-Alphabet Kk Ll,英語108,6,3,50.0
能力指標,字母-Alphabet Mm Nn,英語108,8,5,37.5
能力指標,字母-Alphabet N-Z,英語108,10,1,90.0
能力指標,字母-Alphabet Oo Pp,英語108,6,2,66.7
能力指標,字義[三]/字義1,國語文108,4,0,100.0
能力指標,字義[三]/字義7,國語文108,10,1,90.0
能力指標,字義[三]/字義8,國語文108,6,2,66.7
能力指標,字義[二]/字義1,國語文108,5,3,40.0
能力指標,字義[二]/字義10,國語文108,5,3,40.0
能力指標,字義[二]/字義11,國語文108,4,2,50.0
能力指標,字義[二]/字義12,國語文108,6,3,50.0
能力指標,字義[二]/字義13,國語文108,8,5,37.5
能力指標,字義[二]/字義14,國語文108,5,1,80.0
能力指標,字義[二]/字義15,國語文108,3,1,66.7
能力指標,字義[二]/字義2,國語文108,3,1,66.7
能力指標,字義[二]/字義3,國語文108,7,2,71.4
能力指標,字義[二]/字義4,國語文108,6,2,66.7
能力指標,字義[二]/字義5,國語文108,4,1,75.0
能力指標,字義[二]/字義6,國語文108,3,1,66.7
能力指標,字義[二]/字義7,國語文108,4,2,50.0
能力指標,字義[二]/字義8,國語文108,4,2,50.0
能力指標,字義[二]/字義9,國語文108,5,3,40.0
能力指標,字義[四]/字義8,國語文108,3,2,33.3
能力指標,字音[一]/本音1,國語文108,3,3,0.0
能力指標,字音[一]/本音2,國語文108,6,2,66.7
能力指標,字音[一]/輕音,國語文108,4,2,50.0
能力指標,字音[三]/多音1,國語文108,6,2,66.7
能力指標,字音[三]/多音2,國語文108,38,20,47.4
能力指標,字音[三]/多音3,國語文108,12,3,75.0
能力指標,字音[三]/多音4,國語文108,14,8,42.9
能力指標,字音[三]/本音1,國語文108,4,1,75.0
能力指標,字音[三]/本音2,國語文108,2,0,100.0
能力指標,字音[三]/本音3,國語文108,4,0,100.0
能力指標,字音[二]/多音1,國語文108,8,0,100.0
能力指標,字音[二]/多音2,國語文108,4,0,100.0
能力指標,字音[二]/本音1,國語文108,6,3,50.0
能力指標,字音[二]/本音2,國語文108,8,1,87.5
能力指標,字音[二]/輕音,國語文108,8,1,87.5
能力指標,字音[五]/多音2,國語文108,2,2,0.0
能力指標,字音[四]/本音1,國語文108,8,2,75.0
能力指標,安裝雲端硬碟電腦版,資訊教育,16,6,62.5
能力指標,"家人-My Family -father, mother, grandpa, grandma, sister, brother",英語108,2,0,100.0
能力指標,家人-Who is he/ she? (Family Member)  He is my brother/ father/ grandpa. She is my sister/ mother/ grandma. ,英語108,2,0,100.0
能力指標,"家人-Who's he? He's my brother/father.  Who's she? She's my sister,/mother.",英語108,8,2,75.0
能力指標,寫一封信件給老師,資訊教育,24,9,62.5
能力指標,常見控制板模擬器與arcade,資訊教育,4,2,50.0
能力指標,建立「倍」的概念和理解乘法的意義，解決2、5、10整數倍問題以及乘法中前、後項乘法算式的關係。,數學108,46,12,73.9
能力指標,建立「倍」的概念和理解乘法的意義，解決3、6、9的整數倍問題以及乘法中前、後項乘法算式的關係。,數學108,22,4,81.8
能力指標,建立「倍」的概念和理解乘法的意義，解決4、8、7的整數倍問題以及乘法中前、後項乘法算式的關係。,數學108,40,5,87.5
能力指標,建立自創角色,資訊教育,152,48,68.4
能力指標,"情緒-Are You ________? -sad, happy, hungry, tired, angry",英語108,4,2,50.0
能力指標,"情緒-Feelings (angry, happy, sad, sick, tired)",英語108,4,1,75.0
能力指標,應用探索功能-插入圖片,資訊教育,98,36,63.3
能力指標,應用速度常用單位。,數學108,4,2,50.0
能力指標,成功的簡報--上台報告的要點,資訊教育,12,2,83.3
能力指標,成功的簡報--簡報的要點,資訊教育,12,0,100.0
能力指標,成功與失敗,資訊教育,22,9,59.1
能力指標,我是小畫家-繪圖工具的介紹,資訊教育,46,18,60.9
能力指標,我是小畫家-繪圖工具的應用,資訊教育,20,9,55.0
能力指標,"房間名稱-Favorite Place At Home -living room, dining room, bedroom, bathroom, kitchen",英語108,10,4,60.0
能力指標,"房間名稱-Visiting a friend's house -bedroom, kitchen, living room, bathroom, dining room",英語108,2,0,100.0
能力指標,手繪與物件順序-繪製樹木與物件順序,資訊教育,30,14,53.3
能力指標,手繪與物件順序-繪製白雲,資訊教育,36,8,77.8
能力指標,控制大花貓,資訊教育,104,31,70.2
能力指標,推論理解[三]/句子後果推論,國語文108,2,0,100.0
能力指標,插入圖案,資訊教育,32,11,65.6
能力指標,插入影片,資訊教育,32,7,78.1
能力指標,插入資料來源及投影片編號,資訊教育,36,18,50.0
能力指標,教室用語-How are you?,英語108,2,0,100.0
能力指標,教室用語-Listen!,英語108,2,0,100.0
能力指標,教室用語-Look!,英語108,2,0,100.0
能力指標,教室用語-Raise your hand. Put down your hand.,英語108,6,4,33.3
能力指標,"教室用語-Stand Up, Bow and Sit Down.",英語108,2,0,100.0
能力指標,文具-What's this/that? It's a pencil/book/ruler.,英語108,6,1,83.3
能力指標,文章[一]/段落結構2,國語文108,4,2,50.0
能力指標,文章[一]/語句組織1,國語文108,18,8,55.6
能力指標,文章[一]/語句組織2,國語文108,24,9,62.5
能力指標,文章[三]/段落結構,國語文108,1,0,100.0
能力指標,文章[三]/篇章結構,國語文108,1,1,0.0
能力指標,文章[三]/語句組織,國語文108,2,0,100.0
能力指標,文章[二]/段落結構1,國語文108,46,22,52.2
