類型,名稱,科目,嘗試次數,錯誤次數,正確率
能力指標,能熟練30以內基本減法。,數學108,3,0,100.0
能力指標,能熟練「一、二、三位數乘以二位數」；「一、二位數乘以三位數」的直式計算。,數學108,2,1,50.0
能力指標,能熟練「四位數乘以一位數」的直式計算。,數學108,4,0,100.0
能力指標,能熟練三位數除以一位數，整除或有餘數的直式計算。,數學108,2,1,50.0
能力指標,能熟練同分母分數的加法。,數學108,38,17,55.3
能力指標,能熟練同分母分數的減法。,數學108,42,14,66.7
能力指標,能熟練含進位的二位數加法直式計算。,數學108,74,26,64.9
能力指標,能熟練四則運算的性質，並運用於整數四則混合計算。,數學108,4,2,50.0
能力指標,能熟練帶分數和假分數間的互換。,數學108,50,15,70.0
能力指標,能熟練無進位的二位數加法直式計算。,數學108,80,24,70.0
能力指標,能理解A=B，B=C則A=C。,數學108,14,7,50.0
能力指標,能理解A＞B，B＞C則A＞C或C＜A。,數學108,20,6,70.0
能力指標,能理解「單位分數」的意涵。,數學108,4,1,75.0
能力指標,能理解三位數乘以一位數直式計算的意義與規則。,數學108,22,9,59.1
能力指標,能理解並透過列表的方式找出最大公因數。,數學108,88,14,84.1
能力指標,能理解並透過列表的方式找出最小公倍數。,數學108,88,26,70.5
能力指標,能理解乘法對加法的分配律。,數學108,2,0,100.0
能力指標,能理解二位數乘以一位數直式計算的意義與規則。,數學108,76,37,51.3
能力指標,能理解分數乘法的意涵，並解決生活中相關問題。,數學108,6,2,66.7
能力指標,能理解加減互逆的關係。,數學108,24,8,66.7
能力指標,能理解帶分數乘以帶分數的意義。,數學108,8,4,50.0
能力指標,能理解帶分數乘以整數的意義。,數學108,6,2,66.7
能力指標,能理解平角與周角。,數學108,10,0,100.0
能力指標,能理解簡單平面圖形全等的意義。,數學108,48,17,64.6
能力指標,能理解鈍角與銳角。,數學108,18,8,55.6
能力指標,能理解長度的遞移關係。,數學108,16,3,81.2
能力指標,能理解長方形周長或面積相等，形狀不一定相同。,數學108,8,3,62.5
能力指標,能用乘法算式記錄連加活動的結果。,數學108,16,3,81.2
能力指標,能用乘法解決生活中的問題。,數學108,20,9,55.0
能力指標,能用併式列出三步驟問題的算式，並利用逐次減項的記法記錄解題活動。,數學108,26,11,57.7
能力指標,能用個別單位做長度的合成及分解活動。,數學108,2,0,100.0
能力指標,"能用個別單位實測物件的長度,並比較長短。",數學108,2,0,100.0
能力指標,能用兩個加法算式記錄解決連加兩步驟問題的解決過程。,數學108,66,27,59.1
能力指標,能用兩個減法算式記錄解決連減兩步驟問題的解決過程。,數學108,36,16,55.6
能力指標,能用分數表示整數相除的概念。,數學108,4,1,75.0
能力指標,能用加法及減法算式記錄解決先加後減的兩步驟問題。,數學108,50,18,64.0
能力指標,能用加法及減法算式記錄解決先減後加的兩步驟問題。,數學108,28,10,64.3
能力指標,能用圖形板排出指定造型。,數學108,3,0,100.0
能力指標,能用算式記錄解決18以內的併加型問題。,數學108,4,0,100.0
能力指標,能用＜、＝與＞符號在表示數字和算式間之比較意涵。,數學108,10,3,70.0
能力指標,能用＜、＝與＞符號表示數量大小的關係。,數學108,14,4,71.4
能力指標,能由2個一數、5個一數、10個一數的簡單數列唱數，推測下一個數。,數學108,6,1,83.3
能力指標,能直接比較物件的「長」、「短」、「高」、「矮」。,數學108,6,0,100.0
能力指標,能瞭解公里、公尺的關係，並作化聚。,數學108,10,4,60.0
能力指標,能瞭解圓周率是圓周長和直徑之比值，並知道圓周率大概為3.14。,數學108,2,0,100.0
能力指標,能瞭解折線圖中包含的要素<標題、橫軸、縱軸、單位、刻度間距>。,數學108,18,4,77.8
能力指標,能瞭解正方形有四個相等的邊且四個角都是直角。,數學108,34,3,91.2
能力指標,能瞭解長方形有四個邊，兩雙對邊等長且四個角都是直角。,數學108,14,2,85.7
能力指標,能瞭解長條圖中包含的要素<標題、橫軸、縱軸、單位、刻度間距>。,數學108,16,4,75.0
能力指標,能知道幾月幾日是星期幾並能分辨昨天丶今天和明天的用語及其相互關係。,數學108,8,2,75.0
能力指標,能知道正三角形與常用兩種三角板的內角。,數學108,16,6,62.5
能力指標,能知道用直尺畫出指定長度線段的方法。,數學108,24,1,95.8
能力指標,能經由長方形對角線切割成兩個直角三角形，認識該三角形面積。,數學108,2,1,50.0
能力指標,能藉由長度測量的經驗認識數線，並標記整數值。,數學108,12,1,91.7
能力指標,能複製及記錄物件的長短。,數學108,10,4,60.0
能力指標,能觀察得知兩點間線段的長度。,數學108,24,2,91.7
能力指標,能觀察與推理一維變化模式。,數學108,10,4,60.0
能力指標,能觀察鐘面圖點數兩個時刻之間的時間。,數學108,4,0,100.0
能力指標,能解決100以內加法。,數學108,2,0,100.0
能力指標,能解決100以內減法。,數學108,2,0,100.0
能力指標,能解決三位數不退位的減法用直式計算。,數學108,2,0,100.0
能力指標,能解決三位數不進位的加法直式計算。,數學108,4,1,75.0
能力指標,能解決三位數個位進十位、十位進百位、二次進位的加法直式計算。,數學108,8,5,37.5
能力指標,能解決三位數十位退個位或百位退十位的一次退位減法直式計算。,數學108,10,4,60.0
能力指標,能解決三步驟的問題，並能用併式記錄與計算。,數學108,6,3,50.0
能力指標,能解決假分數除以整數的應用問題。,數學108,6,3,50.0
能力指標,能解決兩時刻之間的時間量問題。,數學108,4,1,75.0
能力指標,能解決同分母分數的加減問題。,數學108,4,1,75.0
能力指標,能解決帶分數除以整數的應用問題。,數學108,2,1,50.0
能力指標,能解決時刻與時間量的加減問題。,數學108,2,1,50.0
能力指標,能解決生活情境中三步驟的四則混合計算問題。,數學108,6,2,66.7
能力指標,能解決生活情境中二步驟的四則混合計算問題。,數學108,6,2,66.7
能力指標,能解決真分數除以整數的應用問題。,數學108,12,3,75.0
能力指標,能解決簡單求公倍數或最小公倍數的情境問題。,數學108,122,42,65.6
能力指標,能解決簡單求公因數或最大公因數的情境問題。,數學108,112,27,75.9
能力指標,能解決被減數為100，減數為一或二位數的減法直式計算。,數學108,8,3,62.5
能力指標,能解決複名數時間量的加減計算問題。,數學108,6,2,66.7
能力指標,能解決長度的加減法計算。,數學108,6,2,66.7
能力指標,能計算一位數的加減混合的式子。,數學108,8,2,75.0
能力指標,能計算扇形周長。,數學108,4,2,50.0
能力指標,能計算由長方形與正方形組成的簡單複合圖形周長及面積。,數學108,8,5,37.5
能力指標,能計算簡單長方體和正方體複合形體的表面積。,數學108,4,1,75.0
能力指標,能計算複合圖形的面積。,數學108,8,2,75.0
能力指標,能認識1000以內各數的位值和位名。,數學108,26,11,57.7
能力指標,能認識「1公分＝10毫米」，並在直尺上進行「毫米」單位的實測。,數學108,12,1,91.7
能力指標,能認識「1平方公尺＝10000平方公分」。,數學108,4,1,75.0
能力指標,能認識「公里」。「1公里＝1000公尺」。,數學108,2,0,100.0
能力指標,能認識旋轉中心、始邊、終邊與旋轉角的關係。,數學108,18,9,50.0
能力指標,能認識旋轉角與旋轉方向。,數學108,28,8,71.4
能力指標,能認識比值並解決生活中的問題。,數學108,4,1,75.0
能力指標,能認識比及相等的比並解決生活中的問題。,數學108,4,0,100.0
能力指標,能認識等值分數。,數學108,4,2,50.0
能力指標,能認識線與面的垂直。,數學108,22,8,63.6
能力指標,能認識質因數。,數學108,4,2,50.0
能力指標,能認識除法直式，並運用九九乘法做二位數除以一位數，商是二位數的除法直式紀錄（不退位）。,數學108,2,0,100.0
能力指標,能認識面與面的垂直。,數學108,26,6,76.9
能力指標,能認識面與面的平行。,數學108,22,6,72.7
能力指標,能讀報一公斤的秤面，認識重量單位「公斤」、「公克」及「1公斤=1000公克」的關係。,數學108,30,6,80.0
能力指標,能讀報三公斤的秤面，並知道「1公斤=1000公克」的關係。,數學108,26,5,80.8
能力指標,能辨認、描述與分類簡單平面圖形。,數學108,3,0,100.0
能力指標,能辨識質數與合數。,數學108,4,0,100.0
能力指標,能透過一平面圖形的切割拼湊了解面積保留的概念。,數學108,4,1,75.0
能力指標,能透過乘法計算平方公分板上正方形或長方形的面積。,數學108,2,0,100.0
能力指標,能透過分數的轉換比較二位小數的大小。,數學108,12,4,66.7
能力指標,能透過平方公分板點數平面圖形（長方形、正方形）的面積。,數學108,2,0,100.0
能力指標,能透過生活中常見容器，認識公升、毫升的容量單位並進行實測。,數學108,8,2,75.0
能力指標,能透過累千，認識10000以內的數及「千位」的位值，並能寫出四位數的展開式。,數學108,42,4,90.5
能力指標,能透過觀察和套描活動，仿製基本平面圖形<三角形丶正方形、長方形、圓形>。,數學108,2,0,100.0
能力指標,能透過過十、過百、過千，瞭解進位問題。,數學108,40,8,80.0
能力指標,能透過錢幣的組合與換算，進行10000以內數的化聚。,數學108,42,5,88.1
能力指標,能進行一平面圖形的切割及重組。,數學108,12,4,66.7
能力指標,能進行三位數的接近整百數字的判斷。,數學108,62,4,93.5
能力指標,能運用三位數乘以一位數的直式計算，解決生活中的問題。,數學108,16,5,68.8
能力指標,能運用九九乘法估商，並做三位數除以一位數，商為三位數的除法直式計算（不退位）。,數學108,6,2,66.7
能力指標,能運用加法與乘法的交換律、結合律，來簡化計算。,數學108,8,1,87.5
能力指標,能運用加減互逆的關係，進行加法的驗算與解題活動。,數學108,48,22,54.2
能力指標,能運用加減互逆的關係，進行減法的驗算與解題活動。,數學108,38,18,52.6
能力指標,能運用圓周長公式解決問題。,數學108,4,0,100.0
能力指標,能運用圓面積公式解決問題。,數學108,12,2,83.3
能力指標,能運用等值分數進行簡單異分母分數比較。,數學108,4,2,50.0
能力指標,能配合數線圖示進行加、減的操作，並用算式記錄下來。,數學108,12,3,75.0
能力指標,能長方形、正方形、三角形、圓形，進行變換造型或做平面造型設計。,數學108,10,4,60.0
能力指標,能間接比較物件的長短。,數學108,3,0,100.0
能力指標,自創角色跑起來,資訊教育,110,33,70.0
能力指標,自動與手動開始的遊戲場景,資訊教育,144,37,74.3
能力指標,自我介紹-Happy Birthday. I'm _____ year(s) old.,英語108,22,13,40.9
能力指標,自我介紹-How old are you?,英語108,10,2,80.0
能力指標,自我介紹-What is your name? ,英語108,4,2,50.0
能力指標,自我介紹-What's your name?,英語108,14,2,85.7
能力指標,與量的觀念結合<例如1公分=0.01公尺，100公尺=0.1公里>，解決二位小數的化聚問題。,數學108,24,7,70.8
能力指標,英文輸入真Easy,資訊教育,30,7,76.7
能力指標,著作權法、創用CC和遊戲規劃,資訊教育,24,5,79.2
能力指標,製作互動專題簡報,資訊教育,56,14,75.0
能力指標,規劃互動專題簡報,資訊教育,54,17,68.5
能力指標,觀察鐘面的變化，並使用常用時間用語<例如:上午、中午和下午>報讀半點的時刻，也能報讀指定時間的前後一小時的時刻。,數學108,4,1,75.0
能力指標,解決生活中的速度問題。 ,數學108,2,1,50.0
能力指標,設計好看的封面,資訊教育,74,20,73.0
能力指標,設計比較磁力強弱的方法,自然108,2,0,100.0
能力指標,設計遊戲場景和正義使者主角,資訊教育,22,9,59.1
能力指標,設計遊戲魔鬼主角程式積木,資訊教育,22,10,54.5
能力指標,設計遊戲魔鬼主角造型,資訊教育,26,8,69.2
能力指標,詞義[一]/成語義1,國語文108,2,1,50.0
能力指標,詞義[一]/成語義2,國語文108,2,1,50.0
能力指標,詞義[一]/成語義3,國語文108,4,2,50.0
能力指標,詞義[三]/反義,國語文108,12,5,58.3
能力指標,詞義[三]/同義,國語文108,28,6,78.6
能力指標,詞義[三]/成語義,國語文108,20,8,60.0
能力指標,詞義[三]/本義,國語文108,12,2,83.3
能力指標,詞義[二]/本義詞1,國語文108,10,4,60.0
能力指標,詞義[四]/多義,國語文108,20,9,55.0
能力指標,認識100元、500元、1000元，並認識5元、10元、100元、500元、1000元與1元的互換關係。,數學108,2,2,0.0
能力指標,認識Google相簿-載具版,資訊教育,22,7,68.2
能力指標,認識Scratch及帳戶的註冊,資訊教育,84,40,52.4
能力指標,認識「萬」、「十萬」、「百萬」、「千萬」及「億、兆」的位名，並能做大數（位名在千兆以內）數的說、讀、聽、寫。,數學108,82,15,81.7
能力指標,認識「萬」、「十萬」、「百萬」、「千萬」的位名，並能做大數（位名在千萬以內）的說、讀、聽、寫。,數學108,74,26,64.9
能力指標,認識乘法、乘號、被乘數、乘數及積。,數學108,28,13,53.6
能力指標,認識千兆以內各數的位值，並做位值單位化聚（含兩階或跨階單位的換算）。,數學108,68,18,73.5
能力指標,認識千萬以內各數的位值，並能使用大數的簡記法。,數學108,12,3,75.0
能力指標,認識圓心角。,數學108,6,1,83.3
能力指標,認識多位小數的位值與進行位值單位的換算。,數學108,56,14,75.0
能力指標,認識幾分之幾圓的扇形，並求出圓心角的度數。,數學108,10,1,90.0
能力指標,認識扇形及其組成要素。,數學108,8,0,100.0
能力指標,認識搜尋引擎,資訊教育,24,9,62.5
能力指標,認識數的十進位結構並做大數的大小比較。,數學108,46,8,82.6
能力指標,認識柱體和錐體的分類與命名。,數學108,10,4,60.0
能力指標,認識柱體和錐體的展開圖。,數學108,2,0,100.0
能力指標,認識柱體和錐體的透視圖。,數學108,4,2,50.0
能力指標,認識檔案總管,資訊教育,58,21,63.8
能力指標,認識檔案總管-簡易操作,資訊教育,30,11,63.3
能力指標,認識檔案與資料夾,資訊教育,40,8,80.0
能力指標,認識海報規劃及繪圖軟體Inkscape,資訊教育,118,34,71.2
能力指標,認識球及其組成要素。,數學108,4,1,75.0
能力指標,認識直角三角形、銳角三角形和鈍角三角形。,數學108,45,6,86.7
能力指標,認識硬碟、雲端硬碟,資訊教育,30,8,73.3
能力指標,認識等值分數。,數學108,44,11,75.0
能力指標,認識角柱、圓柱、角錐、圓錐及其組成要素。,數學108,4,2,50.0
能力指標,認識通分的意義。,數學108,16,1,93.8
能力指標,認識速度的意義。,數學108,12,4,66.7
能力指標,認識鍵盤,資訊教育,34,10,70.6
能力指標,認識長方形與正方形的周長公式。,數學108,4,1,75.0
能力指標,認識長方形與正方形的面積公式。,數學108,8,3,62.5
能力指標,認識電腦的計量單位,資訊教育,52,20,61.5
能力指標,語法[一]/感嘆句,國語文108,8,6,25.0
能力指標,語法[一]/疑問句,國語文108,8,2,75.0
能力指標,語法[一]/病句,國語文108,20,7,65.0
能力指標,語法[一]/祈使句,國語文108,8,4,50.0
能力指標,語法[一]/陳述句,國語文108,2,1,50.0
能力指標,語法[三]/並列複句,國語文108,5,3,40.0
能力指標,語法[三]/疑問句,國語文108,3,0,100.0
能力指標,語法[三]/陳述句,國語文108,6,1,83.3
能力指標,語法[二]/感嘆句,國語文108,10,5,50.0
能力指標,語法[二]/疑問句,國語文108,8,3,62.5
能力指標,語法[二]/祈使句,國語文108,8,3,62.5
能力指標,語法[二]/陳述句,國語文108,6,0,100.0
能力指標,語法[四]/假設複句,國語文108,4,2,50.0
能力指標,語法[四]/病句,國語文108,4,2,50.0
能力指標,語法[四]/詞類,國語文108,4,1,75.0
能力指標,語法標點[三]/冒號,國語文108,4,3,25.0
能力指標,語法標點[三]/句號,國語文108,4,0,100.0
能力指標,語法標點[三]/問號,國語文108,10,1,90.0
能力指標,語法標點[三]/專名號,國語文108,1,0,100.0
能力指標,語法標點[三]/引號,國語文108,12,4,66.7
能力指標,語法標點[三]/破折號,國語文108,2,0,100.0
能力指標,語法標點[三]/逗號,國語文108,10,4,60.0
能力指標,語法標點[三]/驚嘆號,國語文108,4,1,75.0
能力指標,語法標點[二]/冒號,國語文108,32,5,84.4
能力指標,語法標點[二]/問號,國語文108,3,0,100.0
能力指標,語法標點[二]/引號,國語文108,23,7,69.6
能力指標,語法標點[二]/頓號,國語文108,12,2,83.3
能力指標,語法標點[二]/驚嘆號,國語文108,8,2,75.0
能力指標,語法標點[四]/引號,國語文108,12,4,66.7
能力指標,語法標點[四]/書名號,國語文108,6,1,83.3
能力指標,"語音-CVC Sound Combinations 母音a, e, i +無聲子音",英語108,14,5,64.3
能力指標,"語音-CVC Sound Combinations 母音a, e, i+有聲子音",英語108,10,3,70.0
能力指標,"語音-CVC Sound Combinations 母音o, u +有聲子音",英語108,4,1,75.0
能力指標,"語音-CVC Sound Combinations 母音o, u +無聲子音 ",英語108,12,4,66.7
能力指標,"語音-CVC Sound Combinations母音a, e, i, o, u+有聲子音",英語108,10,4,60.0
能力指標,"語音-CVC Sound Combinations母音a, e, i, o, u+無聲子音",英語108,10,3,70.0
能力指標,語音-Consonant Blend ng,英語108,16,7,56.2
能力指標,語音-Consonant Sounds Bb Pp,英語108,10,1,90.0
能力指標,語音-Consonant Sounds LI Rr,英語108,12,4,66.7
能力指標,語音-Consonant Sounds Ll Rr,英語108,4,1,75.0
能力指標,"語音-Consonant Sounds Ll, Rr, Mm, Nn",英語108,6,2,66.7
能力指標,語音-Consonant Sounds Mn Nn,英語108,20,5,75.0
能力指標,語音-Consonant Sounds Q W,英語108,8,1,87.5
能力指標,語音-Consonant Sounds Xx,英語108,12,7,41.7
能力指標,"語音-Consonant Sounds ck, -ss, -ll, -zz, -ff ",英語108,12,6,50.0
能力指標,語音-Letter Mm Sound,英語108,12,2,83.3
能力指標,語音-Letter Nn Sound,英語108,18,8,55.6
能力指標,"語音-Long Vowel Sound /i/: i_e, i, igh, ie, y",英語108,12,4,66.7
能力指標,"語音-Long Vowel Sound /o/: oe, oa, ow, o_e",英語108,12,0,100.0
能力指標,語音-Long/Short Vowel Sounds Part 1,英語108,22,9,59.1
能力指標,語音-Long/Short Vowel Sounds Part 2,英語108,16,7,56.2
能力指標,語音-The PH Sound,英語108,4,1,75.0
能力指標,語音-The TH Sound,英語108,10,6,40.0
能力指標,"語音-Vowel Sounds a _ e, a",英語108,28,12,57.1
能力指標,"語音-Vowel Sounds a, e, i",英語108,14,3,78.6
能力指標,"語音-Vowel Sounds a_e, a",英語108,2,0,100.0
能力指標,"語音-Vowel Sounds e _ e, e",英語108,20,12,40.0
能力指標,"語音-Vowel Sounds ee, e_e, e",英語108,4,1,75.0
能力指標,"語音-Vowel Sounds i _ e , i",英語108,4,2,50.0
能力指標,"語音-Vowel Sounds i_e, i",英語108,8,1,87.5
能力指標,"語音-Vowel Sounds o _ e, o",英語108,14,6,57.1
能力指標,"語音-Vowel Sounds o,u",英語108,4,2,50.0
能力指標,"語音-Vowel Sounds u_ e , u",英語108,12,6,50.0
能力指標,"語音-Vowel Sounds u_e, u",英語108,8,1,87.5
能力指標,課程平台的使用-Google Classroom 上傳作業,資訊教育,2,0,100.0
能力指標,變數的應用,資訊教育,66,24,63.6
能力指標,變更投影片主題,資訊教育,86,27,68.6
能力指標,讓遊戲更精彩,資訊教育,10,3,70.0
能力指標,身材外型-I am tall/ short/ strong/ thin/ fat.,英語108,6,3,50.0
能力指標,"身體外型-I'm___. (tall, short, thin, old, young)",英語108,6,1,83.3
能力指標,"身體外型-My Alien Friends -heavy, short, thin, tall, strong",英語108,12,7,41.7
能力指標,身體部位-Five Senses,英語108,10,5,50.0
能力指標,身體部位-Touch Your Face/Mouth/Eyes/Nose/Ears (Safe Touch/ Unsafe Touch),英語108,6,2,66.7
能力指標,輸入簡報內容及插入網頁圖片,資訊教育,46,13,71.7
能力指標,辨識結合韻一ㄢ、一ㄣ、一ㄤ、一ㄥ,國語文108,2,0,100.0
能力指標,透過兩點間直線距離最短，察覺三角形的任意兩邊和大於第三邊。,數學108,4,1,75.0
能力指標,透過操作，知道三角形任意兩邊和大於第三邊。,數學108,2,2,0.0
能力指標,透過整除認識因數。,數學108,106,23,78.3
能力指標,透過觀察，認識月曆和日曆並能看月曆、日曆回答問題。,數學108,3,0,100.0
能力指標,進行速度常用單位間的化聚。,數學108,4,1,75.0
能力指標,遊戲中的小老鼠,資訊教育,88,12,86.4
能力指標,遊戲分析與故事構想,資訊教育,152,46,69.7
能力指標,遊戲的難易度和勝負判斷,資訊教育,26,13,50.0
能力指標,運用切割重組，理解平行四邊形面積的公式。,數學108,4,0,100.0
能力指標,郵件個人化設定與網路禮儀,資訊教育,20,6,70.0
能力指標,關鍵字搜尋與辨別假訊息,資訊教育,16,3,81.2
能力指標,隨機移動的小老鼠,資訊教育,88,18,79.5
能力指標,電子郵件信箱簡介,資訊教育,18,2,88.9
能力指標,電腦操作起手式與使用電腦的時間管理-實踐篇,資訊教育,10,2,80.0
能力指標,電腦的種類和介紹,資訊教育,6,2,66.7
能力指標,"顏色-Colors (2) (green, orange, purple, pink, gray)",英語108,4,1,75.0
能力指標,"顏色-Colors (red, blue, yellow, black, white)",英語108,2,0,100.0
能力指標,顏色-What color is it?,英語108,4,0,100.0
能力指標,"顏色-What color is it? -red, yellow, green, blue",英語108,6,2,66.7
能力指標,"食物- Drinks- Ordering Drinks(coffee, tea, soda, water, milk)",英語108,2,0,100.0
能力指標,"食物-Do you like cake, pizza, orange juice, milk, tea? Yes, I do. / No, I don't",英語108,8,2,75.0
能力指標,"食物-Do you like hamburgers/sandwiches/eggs/apples/oranges/bananas? Yes, I do. / No, I don't.",英語108,2,0,100.0
能力指標,"食物-Fruit Farm (pineapples, blueberries, watermelons, dragon fruits, star fruits, strawberries)",英語108,2,0,100.0
英文單字,April,英語,1,0,100.0
英文單字,December,英語,6,0,100.0
英文單字,Dr.,英語,3,1,66.7
英文單字,English,英語,2,0,100.0
英文單字,February,英語,1,0,100.0
英文單字,Friday,英語,3,2,33.3
英文單字,I,英語,15,2,86.7
英文單字,January,英語,1,0,100.0
英文單字,July,英語,2,0,100.0
英文單字,MRT,英語,3,0,100.0
英文單字,March,英語,2,0,100.0
英文單字,Miss,英語,5,0,100.0
英文單字,Monday,英語,3,2,33.3
英文單字,Mr.,英語,9,1,88.9
英文單字,Mrs.,英語,8,2,75.0
英文單字,Ms.,英語,5,1,80.0
英文單字,November,英語,3,1,66.7
英文單字,PE,英語,1,0,100.0
英文單字,Saturday,英語,7,2,71.4
英文單字,September,英語,1,0,100.0
英文單字,Sunday,英語,5,2,60.0
英文單字,TV,英語,2,1,50.0
英文單字,Thursday,英語,6,1,83.3
英文單字,Tuesday,英語,5,1,80.0
英文單字,Wednesday,英語,4,2,50.0
英文單字,a,英語,19,2,89.5
英文單字,a few,英語,9,6,33.3
英文單字,a little,英語,7,3,57.1
英文單字,a lot,英語,6,5,16.7
英文單字,a.m.,英語,1,0,100.0
英文單字,about,英語,1,0,100.0
英文單字,above,英語,2,0,100.0
英文單字,across,英語,2,0,100.0
英文單字,actress,英語,2,0,100.0
英文單字,after,英語,2,0,100.0
英文單字,afternoon,英語,1,0,100.0
英文單字,again,英語,1,0,100.0
英文單字,ago,英語,1,1,0.0
英文單字,agree,英語,1,0,100.0
英文單字,airplane,英語,2,0,100.0
英文單字,airport,英語,1,0,100.0
英文單字,all,英語,1,0,100.0
英文單字,almost,英語,1,1,0.0
英文單字,along,英語,2,0,100.0
英文單字,also,英語,1,1,0.0
英文單字,although,英語,1,0,100.0
英文單字,always,英語,2,0,100.0
英文單字,am,英語,21,7,66.7
英文單字,an,英語,10,1,90.0
英文單字,animal,英語,1,0,100.0
英文單字,another,英語,1,0,100.0
英文單字,ant,英語,11,3,72.7
英文單字,any,英語,1,0,100.0
英文單字,anyone,英語,2,0,100.0
英文單字,apartment,英語,1,0,100.0
英文單字,appear,英語,2,0,100.0
英文單字,apple,英語,1,0,100.0
英文單字,are,英語,19,2,89.5
英文單字,arm,英語,4,0,100.0
英文單字,around,英語,5,3,40.0
英文單字,as,英語,1,0,100.0
英文單字,ask,英語,2,0,100.0
英文單字,at,英語,1,0,100.0
英文單字,aunt,英語,4,0,100.0
英文單字,autumn,英語,1,0,100.0
英文單字,baby,英語,1,0,100.0
英文單字,bad,英語,2,0,100.0
英文單字,badminton,英語,2,0,100.0
英文單字,bag,英語,1,0,100.0
英文單字,bakery,英語,2,0,100.0
英文單字,banana,英語,1,0,100.0
英文單字,barbecue,英語,1,0,100.0
英文單字,baseball,英語,1,0,100.0
英文單字,basketball,英語,2,0,100.0
英文單字,be,英語,13,3,76.9
英文單字,bean,英語,1,0,100.0
英文單字,beautiful,英語,1,0,100.0
英文單字,because,英語,1,0,100.0
英文單字,bed,英語,2,0,100.0
英文單字,bedroom,英語,2,0,100.0
英文單字,bee,英語,8,0,100.0
英文單字,beef,英語,1,0,100.0
英文單字,begin,英語,1,0,100.0
英文單字,behind,英語,4,0,100.0
英文單字,believe,英語,2,0,100.0
英文單字,below,英語,1,0,100.0
英文單字,beside,英語,3,0,100.0
英文單字,between,英語,6,1,83.3
英文單字,bicycle,英語,2,0,100.0
英文單字,big,英語,2,0,100.0
英文單字,bike,英語,2,0,100.0
英文單字,bird,英語,3,0,100.0
英文單字,black,英語,2,1,50.0
英文單字,blackboard,英語,2,0,100.0
英文單字,blue,英語,3,0,100.0
英文單字,boat,英語,1,0,100.0
英文單字,body,英語,3,3,0.0
英文單字,book,英語,4,0,100.0
英文單字,bookstore,英語,1,0,100.0
英文單字,born,英語,1,0,100.0
英文單字,boss,英語,2,0,100.0
英文單字,both,英語,1,0,100.0
英文單字,bowl,英語,1,0,100.0
英文單字,boy,英語,7,0,100.0
英文單字,bread,英語,8,6,25.0
英文單字,bright,英語,1,0,100.0
英文單字,brother,英語,5,0,100.0
英文單字,brown,英語,3,1,66.7
英文單字,bug,英語,4,0,100.0
英文單字,bun,英語,1,0,100.0
英文單字,bus,英語,3,0,100.0
英文單字,businessman,英語,2,1,50.0
英文單字,busy,英語,1,0,100.0
英文單字,but,英語,1,0,100.0
英文單字,butter,英語,1,0,100.0
英文單字,by,英語,3,0,100.0
英文單字,cake,英語,13,4,69.2
英文單字,can,英語,1,0,100.0
英文單字,candy,英語,10,3,70.0
英文單字,car,英語,4,0,100.0
英文單字,card,英語,3,0,100.0
英文單字,carry,英語,1,0,100.0
英文單字,cat,英語,6,0,100.0
英文單字,catch,英語,2,0,100.0
英文單字,chalk,英語,3,0,100.0
英文單字,cheap,英語,1,0,100.0
英文單字,chicken,英語,1,0,100.0
英文單字,child,英語,4,0,100.0
英文單字,chocolate,英語,1,0,100.0
英文單字,chopsticks,英語,1,0,100.0
英文單字,church,英語,1,0,100.0
英文單字,clear,英語,2,0,100.0
英文單字,clerk,英語,1,1,0.0
英文單字,clock,英語,2,0,100.0
英文單字,close,英語,2,0,100.0
英文單字,clothes,英語,1,0,100.0
英文單字,coffee,英語,8,1,87.5
英文單字,cola,英語,1,0,100.0
英文單字,cold,英語,3,0,100.0
英文單字,come,英語,4,0,100.0
英文單字,computer,英語,1,0,100.0
英文單字,cool,英語,2,0,100.0
英文單字,cost,英語,1,1,0.0
英文單字,could,英語,1,0,100.0
英文單字,cousin,英語,3,0,100.0
英文單字,cover,英語,1,0,100.0
英文單字,crazy,英語,1,0,100.0
英文單字,cry,英語,1,0,100.0
英文單字,cup,英語,1,0,100.0
英文單字,cut,英語,1,1,0.0
英文單字,daddy,英語,3,0,100.0
英文單字,dance,英語,2,1,50.0
英文單字,date,英語,2,0,100.0
英文單字,daughter,英語,2,0,100.0
英文單字,day,英語,2,0,100.0
英文單字,delicious,英語,1,0,100.0
英文單字,desk,英語,2,0,100.0
英文單字,die,英語,1,0,100.0
英文單字,different,英語,1,0,100.0
英文單字,difficult,英語,2,0,100.0
英文單字,dig,英語,2,1,50.0
英文單字,dining room,英語,2,1,50.0
英文單字,dirty,英語,1,0,100.0
英文單字,dish,英語,2,0,100.0
英文單字,do,英語,1,0,100.0
英文單字,doctor,英語,4,2,50.0
英文單字,does,英語,1,1,0.0
英文單字,dog,英語,10,3,70.0
英文單字,doll,英語,4,0,100.0
英文單字,door,英語,2,0,100.0
英文單字,down,英語,5,0,100.0
英文單字,draw,英語,1,0,100.0
英文單字,drink,英語,1,0,100.0
英文單字,driver,英語,2,0,100.0
英文單字,dry,英語,3,0,100.0
英文單字,duck,英語,2,1,50.0
英文單字,during,英語,2,0,100.0
英文單字,ear,英語,2,0,100.0
英文單字,early,英語,1,0,100.0
英文單字,east,英語,5,2,60.0
英文單字,easy,英語,1,0,100.0
英文單字,eat,英語,5,0,100.0
