siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
80,關山,143,小時風速值,WS_HR,m/sec,202603,1.3
80,關山,38,相對濕度,RH,%,202603,75
80,關山,33,細懸浮微粒,PM2.5,μg/m3,202603,8.2
80,關山,14,溫度,AMB_TEMP,℃,202603,21
80,關山,10,風速,WIND_SPEED,m/sec,202603,1.6
80,關山,7,二氧化氮,NO2,ppb,202603,2
80,關山,6,一氧化氮,NO,ppb,202603,0.8
80,關山,5,氮氧化物,NOx,ppb,202603,3.5
80,關山,4,懸浮微粒,PM10,μg/m3,202603,13
80,關山,3,臭氧,O3,ppb,202603,33
80,關山,2,一氧化碳,CO,ppm,202603,0.18
80,關山,1,二氧化硫,SO2,ppb,202603,0.5
78,馬公,143,小時風速值,WS_HR,m/sec,202603,3.5
78,馬公,38,相對濕度,RH,%,202603,80
78,馬公,33,細懸浮微粒,PM2.5,μg/m3,202603,14.5
78,馬公,31,甲烷,CH4,ppm,202603,1.96
78,馬公,14,溫度,AMB_TEMP,℃,202603,21.1
78,馬公,10,風速,WIND_SPEED,m/sec,202603,4
78,馬公,9,非甲烷碳氫化合物,NMHC,ppm,202603,0
78,馬公,8,總碳氫化物,THC,ppm,202603,1.97
78,馬公,7,二氧化氮,NO2,ppb,202603,2
78,馬公,6,一氧化氮,NO,ppb,202603,0.6
78,馬公,5,氮氧化物,NOx,ppb,202603,3.5
78,馬公,4,懸浮微粒,PM10,μg/m3,202603,29
78,馬公,3,臭氧,O3,ppb,202603,51
78,馬公,2,一氧化碳,CO,ppm,202603,0.18
78,馬公,1,二氧化硫,SO2,ppb,202603,0.5
77,金門,143,小時風速值,WS_HR,m/sec,202603,1.3
77,金門,38,相對濕度,RH,%,202603,71
77,金門,33,細懸浮微粒,PM2.5,μg/m3,202603,20.5
77,金門,31,甲烷,CH4,ppm,202603,2.08
77,金門,14,溫度,AMB_TEMP,℃,202603,17.5
77,金門,10,風速,WIND_SPEED,m/sec,202603,1.7
77,金門,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.05
77,金門,8,總碳氫化物,THC,ppm,202603,2.14
77,金門,7,二氧化氮,NO2,ppb,202603,9
77,金門,6,一氧化氮,NO,ppb,202603,1
77,金門,5,氮氧化物,NOx,ppb,202603,10.5
77,金門,4,懸浮微粒,PM10,μg/m3,202603,32
77,金門,3,臭氧,O3,ppb,202603,46
77,金門,2,一氧化碳,CO,ppm,202603,0.27
77,金門,1,二氧化硫,SO2,ppb,202603,1.2
75,馬祖,143,小時風速值,WS_HR,m/sec,202603,1.6
75,馬祖,38,相對濕度,RH,%,202603,86
75,馬祖,33,細懸浮微粒,PM2.5,μg/m3,202603,18
75,馬祖,31,甲烷,CH4,ppm,202603,2
75,馬祖,14,溫度,AMB_TEMP,℃,202603,14.7
75,馬祖,10,風速,WIND_SPEED,m/sec,202603,2.1
75,馬祖,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.04
75,馬祖,8,總碳氫化物,THC,ppm,202603,2.04
75,馬祖,7,二氧化氮,NO2,ppb,202603,5
75,馬祖,6,一氧化氮,NO,ppb,202603,0.7
75,馬祖,5,氮氧化物,NOx,ppb,202603,6
75,馬祖,4,懸浮微粒,PM10,μg/m3,202603,33
75,馬祖,3,臭氧,O3,ppb,202603,52
75,馬祖,2,一氧化碳,CO,ppm,202603,0.24
75,馬祖,1,二氧化硫,SO2,ppb,202603,0.8
72,埔里,143,小時風速值,WS_HR,m/sec,202603,1.1
72,埔里,38,相對濕度,RH,%,202603,77
72,埔里,33,細懸浮微粒,PM2.5,μg/m3,202603,18.3
72,埔里,31,甲烷,CH4,ppm,202603,2.04
72,埔里,14,溫度,AMB_TEMP,℃,202603,20.8
72,埔里,10,風速,WIND_SPEED,m/sec,202603,1.5
72,埔里,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.06
72,埔里,8,總碳氫化物,THC,ppm,202603,2.12
72,埔里,7,二氧化氮,NO2,ppb,202603,5
72,埔里,6,一氧化氮,NO,ppb,202603,1.4
72,埔里,5,氮氧化物,NOx,ppb,202603,7.2
72,埔里,4,懸浮微粒,PM10,μg/m3,202603,30
72,埔里,3,臭氧,O3,ppb,202603,29
72,埔里,2,一氧化碳,CO,ppm,202603,0.28
72,埔里,1,二氧化硫,SO2,ppb,202603,1.1
71,復興,143,小時風速值,WS_HR,m/sec,202603,0.6
71,復興,38,相對濕度,RH,%,202603,67
71,復興,33,細懸浮微粒,PM2.5,μg/m3,202603,20.8
71,復興,31,甲烷,CH4,ppm,202603,2.06
71,復興,14,溫度,AMB_TEMP,℃,202603,23.4
71,復興,10,風速,WIND_SPEED,m/sec,202603,1.2
71,復興,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.11
71,復興,8,總碳氫化物,THC,ppm,202603,2.19
71,復興,7,二氧化氮,NO2,ppb,202603,13
71,復興,6,一氧化氮,NO,ppb,202603,2.6
71,復興,5,氮氧化物,NOx,ppb,202603,16.5
71,復興,4,懸浮微粒,PM10,μg/m3,202603,45
71,復興,3,臭氧,O3,ppb,202603,35
71,復興,2,一氧化碳,CO,ppm,202603,0.36
71,復興,1,二氧化硫,SO2,ppb,202603,1.2
70,永和,143,小時風速值,WS_HR,m/sec,202603,1.2
