siteid,sitename,itemid,itemname,itemengname,itemunit,monitormonth,concentration
50,鳳山,8,總碳氫化物,THC,ppm,202603,2.27
50,鳳山,7,二氧化氮,NO2,ppb,202603,14
50,鳳山,6,一氧化氮,NO,ppb,202603,2.1
50,鳳山,5,氮氧化物,NOx,ppb,202603,16.7
50,鳳山,4,懸浮微粒,PM10,μg/m3,202603,43
50,鳳山,3,臭氧,O3,ppb,202603,33
50,鳳山,2,一氧化碳,CO,ppm,202603,0.43
50,鳳山,1,二氧化硫,SO2,ppb,202603,1.5
49,仁武,143,小時風速值,WS_HR,m/sec,202603,1.8
49,仁武,38,相對濕度,RH,%,202603,66
49,仁武,33,細懸浮微粒,PM2.5,μg/m3,202603,23.2
49,仁武,31,甲烷,CH4,ppm,202603,2.06
49,仁武,14,溫度,AMB_TEMP,℃,202603,22.9
49,仁武,10,風速,WIND_SPEED,m/sec,202603,2.1
49,仁武,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.11
49,仁武,8,總碳氫化物,THC,ppm,202603,2.18
49,仁武,7,二氧化氮,NO2,ppb,202603,16
49,仁武,6,一氧化氮,NO,ppb,202603,2.2
49,仁武,5,氮氧化物,NOx,ppb,202603,18.5
49,仁武,4,懸浮微粒,PM10,μg/m3,202603,44
49,仁武,3,臭氧,O3,ppb,202603,33
49,仁武,2,一氧化碳,CO,ppm,202603,0.33
49,仁武,1,二氧化硫,SO2,ppb,202603,1.9
48,橋頭,143,小時風速值,WS_HR,m/sec,202603,2.1
48,橋頭,38,相對濕度,RH,%,202603,71
48,橋頭,33,細懸浮微粒,PM2.5,μg/m3,202603,22.9
48,橋頭,31,甲烷,CH4,ppm,202603,2.1
48,橋頭,14,溫度,AMB_TEMP,℃,202603,22.8
48,橋頭,10,風速,WIND_SPEED,m/sec,202603,2.2
48,橋頭,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.08
48,橋頭,8,總碳氫化物,THC,ppm,202603,2.19
48,橋頭,7,二氧化氮,NO2,ppb,202603,11
48,橋頭,6,一氧化氮,NO,ppb,202603,1.6
48,橋頭,5,氮氧化物,NOx,ppb,202603,13.3
48,橋頭,4,懸浮微粒,PM10,μg/m3,202603,44
48,橋頭,3,臭氧,O3,ppb,202603,33
48,橋頭,2,一氧化碳,CO,ppm,202603,0.28
48,橋頭,1,二氧化硫,SO2,ppb,202603,1.3
47,美濃,143,小時風速值,WS_HR,m/sec,202603,0.9
47,美濃,38,相對濕度,RH,%,202603,72
47,美濃,33,細懸浮微粒,PM2.5,μg/m3,202603,17.8
47,美濃,14,溫度,AMB_TEMP,℃,202603,23.7
47,美濃,10,風速,WIND_SPEED,m/sec,202603,1.1
47,美濃,7,二氧化氮,NO2,ppb,202603,5
47,美濃,6,一氧化氮,NO,ppb,202603,0.8
47,美濃,5,氮氧化物,NOx,ppb,202603,6.7
47,美濃,4,懸浮微粒,PM10,μg/m3,202603,36
47,美濃,3,臭氧,O3,ppb,202603,37
47,美濃,2,一氧化碳,CO,ppm,202603,0.27
47,美濃,1,二氧化硫,SO2,ppb,202603,0.8
46,臺南,143,小時風速值,WS_HR,m/sec,202603,2.1
46,臺南,38,相對濕度,RH,%,202603,69
46,臺南,33,細懸浮微粒,PM2.5,μg/m3,202603,18.9
46,臺南,31,甲烷,CH4,ppm,202603,2.04
46,臺南,14,溫度,AMB_TEMP,℃,202603,23.1
46,臺南,10,風速,WIND_SPEED,m/sec,202603,2.4
46,臺南,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.08
46,臺南,8,總碳氫化物,THC,ppm,202603,2.14
46,臺南,7,二氧化氮,NO2,ppb,202603,11
46,臺南,6,一氧化氮,NO,ppb,202603,1.2
46,臺南,5,氮氧化物,NOx,ppb,202603,12.7
46,臺南,4,懸浮微粒,PM10,μg/m3,202603,42
46,臺南,3,臭氧,O3,ppb,202603,36
46,臺南,2,一氧化碳,CO,ppm,202603,0.28
46,臺南,1,二氧化硫,SO2,ppb,202603,1.2
45,安南,143,小時風速值,WS_HR,m/sec,202603,2.1
45,安南,38,相對濕度,RH,%,202603,71
45,安南,33,細懸浮微粒,PM2.5,μg/m3,202603,20.8
45,安南,31,甲烷,CH4,ppm,202603,2.13
45,安南,14,溫度,AMB_TEMP,℃,202603,22.7
45,安南,10,風速,WIND_SPEED,m/sec,202603,2.4
45,安南,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.06
45,安南,8,總碳氫化物,THC,ppm,202603,2.2
45,安南,7,二氧化氮,NO2,ppb,202603,9
45,安南,6,一氧化氮,NO,ppb,202603,1.5
45,安南,5,氮氧化物,NOx,ppb,202603,10.7
45,安南,4,懸浮微粒,PM10,μg/m3,202603,44
45,安南,3,臭氧,O3,ppb,202603,36
45,安南,2,一氧化碳,CO,ppm,202603,0.28
45,安南,1,二氧化硫,SO2,ppb,202603,1.5
44,善化,143,小時風速值,WS_HR,m/sec,202603,2.3
44,善化,38,相對濕度,RH,%,202603,75
44,善化,33,細懸浮微粒,PM2.5,μg/m3,202603,20
44,善化,14,溫度,AMB_TEMP,℃,202603,21.9
44,善化,10,風速,WIND_SPEED,m/sec,202603,2.5
44,善化,7,二氧化氮,NO2,ppb,202603,8
44,善化,6,一氧化氮,NO,ppb,202603,1.2
44,善化,5,氮氧化物,NOx,ppb,202603,10.1
44,善化,4,懸浮微粒,PM10,μg/m3,202603,44
44,善化,3,臭氧,O3,ppb,202603,35
44,善化,2,一氧化碳,CO,ppm,202603,0.25
44,善化,1,二氧化硫,SO2,ppb,202603,1.2
43,新營,143,小時風速值,WS_HR,m/sec,202603,1.9
43,新營,38,相對濕度,RH,%,202603,75
43,新營,33,細懸浮微粒,PM2.5,μg/m3,202603,20.1
43,新營,31,甲烷,CH4,ppm,202603,2.16
43,新營,14,溫度,AMB_TEMP,℃,202603,22.1
43,新營,10,風速,WIND_SPEED,m/sec,202603,2.1
43,新營,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.04
43,新營,8,總碳氫化物,THC,ppm,202603,2.21
43,新營,7,二氧化氮,NO2,ppb,202603,9
43,新營,6,一氧化氮,NO,ppb,202603,1.5
43,新營,5,氮氧化物,NOx,ppb,202603,10.7
43,新營,4,懸浮微粒,PM10,μg/m3,202603,45
43,新營,3,臭氧,O3,ppb,202603,35
43,新營,2,一氧化碳,CO,ppm,202603,0.27
43,新營,1,二氧化硫,SO2,ppb,202603,1.3
42,嘉義,143,小時風速值,WS_HR,m/sec,202603,2.1
42,嘉義,38,相對濕度,RH,%,202603,70
42,嘉義,33,細懸浮微粒,PM2.5,μg/m3,202603,22.5
42,嘉義,31,甲烷,CH4,ppm,202603,2.06
42,嘉義,14,溫度,AMB_TEMP,℃,202603,21.8
42,嘉義,10,風速,WIND_SPEED,m/sec,202603,2.4
42,嘉義,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.06
42,嘉義,8,總碳氫化物,THC,ppm,202603,2.14
42,嘉義,7,二氧化氮,NO2,ppb,202603,9
42,嘉義,6,一氧化氮,NO,ppb,202603,1
42,嘉義,5,氮氧化物,NOx,ppb,202603,10.3
42,嘉義,4,懸浮微粒,PM10,μg/m3,202603,45
42,嘉義,3,臭氧,O3,ppb,202603,33
42,嘉義,2,一氧化碳,CO,ppm,202603,0.3
42,嘉義,1,二氧化硫,SO2,ppb,202603,1.9
41,臺西,143,小時風速值,WS_HR,m/sec,202603,4
41,臺西,38,相對濕度,RH,%,202603,80
41,臺西,33,細懸浮微粒,PM2.5,μg/m3,202603,16.5
41,臺西,31,甲烷,CH4,ppm,202603,2.16
41,臺西,14,溫度,AMB_TEMP,℃,202603,21
41,臺西,10,風速,WIND_SPEED,m/sec,202603,4.2
41,臺西,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.04
41,臺西,8,總碳氫化物,THC,ppm,202603,2.21
41,臺西,7,二氧化氮,NO2,ppb,202603,6
41,臺西,6,一氧化氮,NO,ppb,202603,0.8
41,臺西,5,氮氧化物,NOx,ppb,202603,6.9
41,臺西,4,懸浮微粒,PM10,μg/m3,202603,38
41,臺西,3,臭氧,O3,ppb,202603,42
41,臺西,2,一氧化碳,CO,ppm,202603,0.23
41,臺西,1,二氧化硫,SO2,ppb,202603,1.2
40,朴子,143,小時風速值,WS_HR,m/sec,202603,1.1
40,朴子,38,相對濕度,RH,%,202603,76
40,朴子,33,細懸浮微粒,PM2.5,μg/m3,202603,18.6
40,朴子,14,溫度,AMB_TEMP,℃,202603,21.5
40,朴子,10,風速,WIND_SPEED,m/sec,202603,1.6
40,朴子,7,二氧化氮,NO2,ppb,202603,7
40,朴子,6,一氧化氮,NO,ppb,202603,1.2
40,朴子,5,氮氧化物,NOx,ppb,202603,8.6
40,朴子,4,懸浮微粒,PM10,μg/m3,202603,43
40,朴子,3,臭氧,O3,ppb,202603,39
40,朴子,2,一氧化碳,CO,ppm,202603,0.24
40,朴子,1,二氧化硫,SO2,ppb,202603,1.2
39,新港,143,小時風速值,WS_HR,m/sec,202603,2.2
39,新港,38,相對濕度,RH,%,202603,77
39,新港,33,細懸浮微粒,PM2.5,μg/m3,202603,20
39,新港,14,溫度,AMB_TEMP,℃,202603,21.3
39,新港,10,風速,WIND_SPEED,m/sec,202603,2.5
39,新港,7,二氧化氮,NO2,ppb,202603,6
39,新港,6,一氧化氮,NO,ppb,202603,1.3
39,新港,5,氮氧化物,NOx,ppb,202603,8.3
39,新港,4,懸浮微粒,PM10,μg/m3,202603,46
39,新港,3,臭氧,O3,ppb,202603,37
39,新港,2,一氧化碳,CO,ppm,202603,0.26
39,新港,1,二氧化硫,SO2,ppb,202603,1.6
38,崙背,143,小時風速值,WS_HR,m/sec,202603,0.7
38,崙背,38,相對濕度,RH,%,202603,74
38,崙背,33,細懸浮微粒,PM2.5,μg/m3,202603,22.1
38,崙背,31,甲烷,CH4,ppm,202603,2.27
38,崙背,14,溫度,AMB_TEMP,℃,202603,21.3
38,崙背,10,風速,WIND_SPEED,m/sec,202603,1.6
38,崙背,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.03
38,崙背,8,總碳氫化物,THC,ppm,202603,2.31
38,崙背,7,二氧化氮,NO2,ppb,202603,6
38,崙背,6,一氧化氮,NO,ppb,202603,0.9
38,崙背,5,氮氧化物,NOx,ppb,202603,7.5
38,崙背,4,懸浮微粒,PM10,μg/m3,202603,48
38,崙背,3,臭氧,O3,ppb,202603,37
38,崙背,2,一氧化碳,CO,ppm,202603,0.27
38,崙背,1,二氧化硫,SO2,ppb,202603,1.2
37,斗六,143,小時風速值,WS_HR,m/sec,202603,1.2
37,斗六,38,相對濕度,RH,%,202603,71
37,斗六,33,細懸浮微粒,PM2.5,μg/m3,202603,23.1
37,斗六,31,甲烷,CH4,ppm,202603,2.04
37,斗六,14,溫度,AMB_TEMP,℃,202603,21.8
37,斗六,10,風速,WIND_SPEED,m/sec,202603,1.6
37,斗六,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.05
37,斗六,8,總碳氫化物,THC,ppm,202603,2.11
37,斗六,7,二氧化氮,NO2,ppb,202603,8
37,斗六,6,一氧化氮,NO,ppb,202603,1
37,斗六,5,氮氧化物,NOx,ppb,202603,9.7
37,斗六,4,懸浮微粒,PM10,μg/m3,202603,45
37,斗六,3,臭氧,O3,ppb,202603,38
37,斗六,2,一氧化碳,CO,ppm,202603,0.28
37,斗六,1,二氧化硫,SO2,ppb,202603,1.3
36,南投,143,小時風速值,WS_HR,m/sec,202603,1.1
36,南投,38,相對濕度,RH,%,202603,67
36,南投,33,細懸浮微粒,PM2.5,μg/m3,202603,19.8
36,南投,31,甲烷,CH4,ppm,202603,2.06
36,南投,14,溫度,AMB_TEMP,℃,202603,22
36,南投,10,風速,WIND_SPEED,m/sec,202603,1.4
36,南投,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.07
36,南投,8,總碳氫化物,THC,ppm,202603,2.15
36,南投,7,二氧化氮,NO2,ppb,202603,10
36,南投,6,一氧化氮,NO,ppb,202603,1.5
36,南投,5,氮氧化物,NOx,ppb,202603,12.1
36,南投,4,懸浮微粒,PM10,μg/m3,202603,35
36,南投,3,臭氧,O3,ppb,202603,32
36,南投,2,一氧化碳,CO,ppm,202603,0.28
36,南投,1,二氧化硫,SO2,ppb,202603,0.7
35,二林,143,小時風速值,WS_HR,m/sec,202603,2.4
35,二林,38,相對濕度,RH,%,202603,78
35,二林,33,細懸浮微粒,PM2.5,μg/m3,202603,20.3
35,二林,31,甲烷,CH4,ppm,202603,2.1
35,二林,14,溫度,AMB_TEMP,℃,202603,20.9
35,二林,10,風速,WIND_SPEED,m/sec,202603,2.7
35,二林,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.04
35,二林,8,總碳氫化物,THC,ppm,202603,2.15
35,二林,7,二氧化氮,NO2,ppb,202603,6
35,二林,6,一氧化氮,NO,ppb,202603,1.1
35,二林,5,氮氧化物,NOx,ppb,202603,7.6
35,二林,4,懸浮微粒,PM10,μg/m3,202603,53
35,二林,3,臭氧,O3,ppb,202603,39
35,二林,2,一氧化碳,CO,ppm,202603,0.28
35,二林,1,二氧化硫,SO2,ppb,202603,1.5
34,線西,143,小時風速值,WS_HR,m/sec,202603,3.6
34,線西,38,相對濕度,RH,%,202603,70
34,線西,33,細懸浮微粒,PM2.5,μg/m3,202603,18.7
34,線西,31,甲烷,CH4,ppm,202603,1.98
34,線西,14,溫度,AMB_TEMP,℃,202603,20.5
34,線西,10,風速,WIND_SPEED,m/sec,202603,3.9
34,線西,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.04
34,線西,8,總碳氫化物,THC,ppm,202603,2.02
34,線西,7,二氧化氮,NO2,ppb,202603,9
34,線西,6,一氧化氮,NO,ppb,202603,1.2
34,線西,5,氮氧化物,NOx,ppb,202603,10.2
34,線西,4,懸浮微粒,PM10,μg/m3,202603,38
34,線西,3,臭氧,O3,ppb,202603,40
34,線西,2,一氧化碳,CO,ppm,202603,0.27
34,線西,1,二氧化硫,SO2,ppb,202603,1.7
33,彰化,143,小時風速值,WS_HR,m/sec,202603,2
33,彰化,38,相對濕度,RH,%,202603,69
33,彰化,33,細懸浮微粒,PM2.5,μg/m3,202603,18
33,彰化,31,甲烷,CH4,ppm,202603,2.14
33,彰化,14,溫度,AMB_TEMP,℃,202603,21.5
33,彰化,10,風速,WIND_SPEED,m/sec,202603,2.3
33,彰化,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.08
33,彰化,8,總碳氫化物,THC,ppm,202603,2.23
33,彰化,7,二氧化氮,NO2,ppb,202603,10
33,彰化,6,一氧化氮,NO,ppb,202603,1.7
33,彰化,5,氮氧化物,NOx,ppb,202603,12.2
33,彰化,4,懸浮微粒,PM10,μg/m3,202603,35
33,彰化,3,臭氧,O3,ppb,202603,36
33,彰化,2,一氧化碳,CO,ppm,202603,0.3
33,彰化,1,二氧化硫,SO2,ppb,202603,1.1
32,西屯,143,小時風速值,WS_HR,m/sec,202603,2.1
32,西屯,38,相對濕度,RH,%,202603,76
32,西屯,33,細懸浮微粒,PM2.5,μg/m3,202603,15.6
32,西屯,31,甲烷,CH4,ppm,202603,2.08
32,西屯,14,溫度,AMB_TEMP,℃,202603,21.2
32,西屯,10,風速,WIND_SPEED,m/sec,202603,2.4
32,西屯,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.1
32,西屯,8,總碳氫化物,THC,ppm,202603,2.19
32,西屯,7,二氧化氮,NO2,ppb,202603,11
32,西屯,6,一氧化氮,NO,ppb,202603,1.9
32,西屯,5,氮氧化物,NOx,ppb,202603,12.9
32,西屯,4,懸浮微粒,PM10,μg/m3,202603,34
32,西屯,3,臭氧,O3,ppb,202603,35
32,西屯,2,一氧化碳,CO,ppm,202603,0.27
32,西屯,1,二氧化硫,SO2,ppb,202603,1.2
31,忠明,143,小時風速值,WS_HR,m/sec,202603,1.2
31,忠明,38,相對濕度,RH,%,202603,72
31,忠明,33,細懸浮微粒,PM2.5,μg/m3,202603,17
31,忠明,31,甲烷,CH4,ppm,202603,2.08
31,忠明,14,溫度,AMB_TEMP,℃,202603,21.6
31,忠明,10,風速,WIND_SPEED,m/sec,202603,1.6
31,忠明,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.07
31,忠明,8,總碳氫化物,THC,ppm,202603,2.16
31,忠明,7,二氧化氮,NO2,ppb,202603,11
31,忠明,6,一氧化氮,NO,ppb,202603,2.3
31,忠明,5,氮氧化物,NOx,ppb,202603,14
31,忠明,4,懸浮微粒,PM10,μg/m3,202603,34
31,忠明,3,臭氧,O3,ppb,202603,33
31,忠明,2,一氧化碳,CO,ppm,202603,0.32
31,忠明,1,二氧化硫,SO2,ppb,202603,1.5
30,大里,143,小時風速值,WS_HR,m/sec,202603,1.4
30,大里,38,相對濕度,RH,%,202603,71
30,大里,33,細懸浮微粒,PM2.5,μg/m3,202603,17.6
30,大里,31,甲烷,CH4,ppm,202603,2.2
30,大里,14,溫度,AMB_TEMP,℃,202603,21.7
30,大里,10,風速,WIND_SPEED,m/sec,202603,1.8
30,大里,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.1
30,大里,8,總碳氫化物,THC,ppm,202603,2.31
30,大里,7,二氧化氮,NO2,ppb,202603,10
30,大里,6,一氧化氮,NO,ppb,202603,1.3
30,大里,5,氮氧化物,NOx,ppb,202603,11.7
30,大里,4,懸浮微粒,PM10,μg/m3,202603,36
30,大里,3,臭氧,O3,ppb,202603,31
30,大里,2,一氧化碳,CO,ppm,202603,0.34
30,大里,1,二氧化硫,SO2,ppb,202603,1.2
29,沙鹿,143,小時風速值,WS_HR,m/sec,202603,0.9
29,沙鹿,38,相對濕度,RH,%,202603,77
29,沙鹿,33,細懸浮微粒,PM2.5,μg/m3,202603,18.4
29,沙鹿,14,溫度,AMB_TEMP,℃,202603,20.2
29,沙鹿,10,風速,WIND_SPEED,m/sec,202603,2.9
29,沙鹿,7,二氧化氮,NO2,ppb,202603,8
29,沙鹿,6,一氧化氮,NO,ppb,202603,1.1
29,沙鹿,5,氮氧化物,NOx,ppb,202603,9.7
29,沙鹿,4,懸浮微粒,PM10,μg/m3,202603,36
29,沙鹿,3,臭氧,O3,ppb,202603,39
29,沙鹿,2,一氧化碳,CO,ppm,202603,0.25
29,沙鹿,1,二氧化硫,SO2,ppb,202603,1.1
28,豐原,143,小時風速值,WS_HR,m/sec,202603,1.6
28,豐原,38,相對濕度,RH,%,202603,76
28,豐原,33,細懸浮微粒,PM2.5,μg/m3,202603,15.5
28,豐原,31,甲烷,CH4,ppm,202603,2.06
28,豐原,14,溫度,AMB_TEMP,℃,202603,20
28,豐原,10,風速,WIND_SPEED,m/sec,202603,1.9
28,豐原,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.07
28,豐原,8,總碳氫化物,THC,ppm,202603,2.13
28,豐原,7,二氧化氮,NO2,ppb,202603,7
28,豐原,6,一氧化氮,NO,ppb,202603,1.3
28,豐原,5,氮氧化物,NOx,ppb,202603,9.1
28,豐原,4,懸浮微粒,PM10,μg/m3,202603,27
28,豐原,3,臭氧,O3,ppb,202603,37
28,豐原,2,一氧化碳,CO,ppm,202603,0.27
28,豐原,1,二氧化硫,SO2,ppb,202603,1.3
27,三義,143,小時風速值,WS_HR,m/sec,202603,3
27,三義,38,相對濕度,RH,%,202603,78
27,三義,33,細懸浮微粒,PM2.5,μg/m3,202603,13.4
27,三義,14,溫度,AMB_TEMP,℃,202603,18
27,三義,10,風速,WIND_SPEED,m/sec,202603,3.2
27,三義,7,二氧化氮,NO2,ppb,202603,4
27,三義,6,一氧化氮,NO,ppb,202603,1.2
27,三義,5,氮氧化物,NOx,ppb,202603,5.9
27,三義,4,懸浮微粒,PM10,μg/m3,202603,23
27,三義,3,臭氧,O3,ppb,202603,39
27,三義,2,一氧化碳,CO,ppm,202603,0.22
27,三義,1,二氧化硫,SO2,ppb,202603,1
26,苗栗,143,小時風速值,WS_HR,m/sec,202603,2.1
26,苗栗,38,相對濕度,RH,%,202603,76
26,苗栗,33,細懸浮微粒,PM2.5,μg/m3,202603,14.9
26,苗栗,14,溫度,AMB_TEMP,℃,202603,19.6
26,苗栗,10,風速,WIND_SPEED,m/sec,202603,2.4
26,苗栗,7,二氧化氮,NO2,ppb,202603,7
26,苗栗,6,一氧化氮,NO,ppb,202603,1.5
26,苗栗,5,氮氧化物,NOx,ppb,202603,9.5
26,苗栗,4,懸浮微粒,PM10,μg/m3,202603,26
26,苗栗,3,臭氧,O3,ppb,202603,37
26,苗栗,2,一氧化碳,CO,ppm,202603,0.23
26,苗栗,1,二氧化硫,SO2,ppb,202603,1.4
25,頭份,143,小時風速值,WS_HR,m/sec,202603,1.7
25,頭份,38,相對濕度,RH,%,202603,72
25,頭份,33,細懸浮微粒,PM2.5,μg/m3,202603,14.4
25,頭份,31,甲烷,CH4,ppm,202603,2.04
25,頭份,14,溫度,AMB_TEMP,℃,202603,19.7
25,頭份,10,風速,WIND_SPEED,m/sec,202603,2.1
25,頭份,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.06
25,頭份,8,總碳氫化物,THC,ppm,202603,2.1
25,頭份,7,二氧化氮,NO2,ppb,202603,9
25,頭份,6,一氧化氮,NO,ppb,202603,1.8
25,頭份,5,氮氧化物,NOx,ppb,202603,11.1
25,頭份,4,懸浮微粒,PM10,μg/m3,202603,33
25,頭份,3,臭氧,O3,ppb,202603,36
25,頭份,2,一氧化碳,CO,ppm,202603,0.26
25,頭份,1,二氧化硫,SO2,ppb,202603,1.4
24,新竹,143,小時風速值,WS_HR,m/sec,202603,1.6
24,新竹,38,相對濕度,RH,%,202603,78
24,新竹,33,細懸浮微粒,PM2.5,μg/m3,202603,14
24,新竹,31,甲烷,CH4,ppm,202603,2.14
24,新竹,14,溫度,AMB_TEMP,℃,202603,20.6
24,新竹,10,風速,WIND_SPEED,m/sec,202603,1.9
24,新竹,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.07
24,新竹,8,總碳氫化物,THC,ppm,202603,2.22
24,新竹,7,二氧化氮,NO2,ppb,202603,11
24,新竹,6,一氧化氮,NO,ppb,202603,1.4
24,新竹,5,氮氧化物,NOx,ppb,202603,12.6
24,新竹,4,懸浮微粒,PM10,μg/m3,202603,30
24,新竹,3,臭氧,O3,ppb,202603,38
24,新竹,2,一氧化碳,CO,ppm,202603,0.28
24,新竹,1,二氧化硫,SO2,ppb,202603,1.3
23,竹東,143,小時風速值,WS_HR,m/sec,202603,1.7
23,竹東,38,相對濕度,RH,%,202603,83
23,竹東,33,細懸浮微粒,PM2.5,μg/m3,202603,13.6
23,竹東,14,溫度,AMB_TEMP,℃,202603,19.7
23,竹東,10,風速,WIND_SPEED,m/sec,202603,2.1
23,竹東,7,二氧化氮,NO2,ppb,202603,7
23,竹東,6,一氧化氮,NO,ppb,202603,1
23,竹東,5,氮氧化物,NOx,ppb,202603,8.5
23,竹東,4,懸浮微粒,PM10,μg/m3,202603,23
23,竹東,3,臭氧,O3,ppb,202603,35
23,竹東,2,一氧化碳,CO,ppm,202603,0.24
23,竹東,1,二氧化硫,SO2,ppb,202603,1
22,湖口,143,小時風速值,WS_HR,m/sec,202603,2.9
22,湖口,38,相對濕度,RH,%,202603,79
22,湖口,33,細懸浮微粒,PM2.5,μg/m3,202603,13.5
22,湖口,14,溫度,AMB_TEMP,℃,202603,19.1
22,湖口,10,風速,WIND_SPEED,m/sec,202603,3.2
22,湖口,7,二氧化氮,NO2,ppb,202603,8
22,湖口,6,一氧化氮,NO,ppb,202603,1
22,湖口,5,氮氧化物,NOx,ppb,202603,9.5
22,湖口,4,懸浮微粒,PM10,μg/m3,202603,29
22,湖口,3,臭氧,O3,ppb,202603,40
22,湖口,2,一氧化碳,CO,ppm,202603,0.24
22,湖口,1,二氧化硫,SO2,ppb,202603,0.8
21,龍潭,143,小時風速值,WS_HR,m/sec,202603,2.6
21,龍潭,38,相對濕度,RH,%,202603,84
21,龍潭,33,細懸浮微粒,PM2.5,μg/m3,202603,15.4
21,龍潭,14,溫度,AMB_TEMP,℃,202603,18.2
21,龍潭,10,風速,WIND_SPEED,m/sec,202603,2.9
21,龍潭,7,二氧化氮,NO2,ppb,202603,10
21,龍潭,6,一氧化氮,NO,ppb,202603,1.5
21,龍潭,5,氮氧化物,NOx,ppb,202603,11.5
21,龍潭,4,懸浮微粒,PM10,μg/m3,202603,28
21,龍潭,3,臭氧,O3,ppb,202603,37
21,龍潭,2,一氧化碳,CO,ppm,202603,0.25
21,龍潭,1,二氧化硫,SO2,ppb,202603,1
20,平鎮,143,小時風速值,WS_HR,m/sec,202603,1.4
20,平鎮,38,相對濕度,RH,%,202603,81
20,平鎮,33,細懸浮微粒,PM2.5,μg/m3,202603,16
20,平鎮,14,溫度,AMB_TEMP,℃,202603,19.4
20,平鎮,10,風速,WIND_SPEED,m/sec,202603,1.6
20,平鎮,7,二氧化氮,NO2,ppb,202603,12
20,平鎮,6,一氧化氮,NO,ppb,202603,1.9
20,平鎮,5,氮氧化物,NOx,ppb,202603,14.7
20,平鎮,4,懸浮微粒,PM10,μg/m3,202603,32
20,平鎮,3,臭氧,O3,ppb,202603,35
20,平鎮,2,一氧化碳,CO,ppm,202603,0.31
20,平鎮,1,二氧化硫,SO2,ppb,202603,0.7
19,觀音,143,小時風速值,WS_HR,m/sec,202603,3.7
19,觀音,38,相對濕度,RH,%,202603,78
19,觀音,33,細懸浮微粒,PM2.5,μg/m3,202603,13.9
19,觀音,14,溫度,AMB_TEMP,℃,202603,18.9
19,觀音,10,風速,WIND_SPEED,m/sec,202603,4
19,觀音,7,二氧化氮,NO2,ppb,202603,6
19,觀音,6,一氧化氮,NO,ppb,202603,1
19,觀音,5,氮氧化物,NOx,ppb,202603,8
19,觀音,4,懸浮微粒,PM10,μg/m3,202603,28
19,觀音,3,臭氧,O3,ppb,202603,43
19,觀音,2,一氧化碳,CO,ppm,202603,0.2
19,觀音,1,二氧化硫,SO2,ppb,202603,0.8
18,大園,143,小時風速值,WS_HR,m/sec,202603,3.7
18,大園,38,相對濕度,RH,%,202603,85
18,大園,33,細懸浮微粒,PM2.5,μg/m3,202603,14.6
18,大園,14,溫度,AMB_TEMP,℃,202603,18.7
18,大園,10,風速,WIND_SPEED,m/sec,202603,4
18,大園,7,二氧化氮,NO2,ppb,202603,12
18,大園,6,一氧化氮,NO,ppb,202603,2
18,大園,5,氮氧化物,NOx,ppb,202603,14.8
18,大園,4,懸浮微粒,PM10,μg/m3,202603,31
18,大園,3,臭氧,O3,ppb,202603,38
18,大園,2,一氧化碳,CO,ppm,202603,0.24
18,大園,1,二氧化硫,SO2,ppb,202603,1.1
17,桃園,143,小時風速值,WS_HR,m/sec,202603,1.6
17,桃園,38,相對濕度,RH,%,202603,79
17,桃園,33,細懸浮微粒,PM2.5,μg/m3,202603,13.7
17,桃園,31,甲烷,CH4,ppm,202603,2.08
17,桃園,14,溫度,AMB_TEMP,℃,202603,19.1
17,桃園,10,風速,WIND_SPEED,m/sec,202603,2
17,桃園,9,非甲烷碳氫化合物,NMHC,ppm,202603,0.1
17,桃園,8,總碳氫化物,THC,ppm,202603,2.19
17,桃園,7,二氧化氮,NO2,ppb,202603,12
17,桃園,6,一氧化氮,NO,ppb,202603,1.5
17,桃園,5,氮氧化物,NOx,ppb,202603,13.8
17,桃園,4,懸浮微粒,PM10,μg/m3,202603,27
17,桃園,3,臭氧,O3,ppb,202603,37
17,桃園,2,一氧化碳,CO,ppm,202603,0.31
17,桃園,1,二氧化硫,SO2,ppb,202603,0.8
16,大同,143,小時風速值,WS_HR,m/sec,202603,
16,大同,38,相對濕度,RH,%,202603,68
16,大同,33,細懸浮微粒,PM2.5,μg/m3,202603,14.9
16,大同,31,甲烷,CH4,ppm,202603,2.18
16,大同,14,溫度,AMB_TEMP,℃,202603,
